id,plant_id,timestep,discharge,spill,bypass,controlled_inflow,controlled_outflow,volume_res
0,49900,1,0.0,0.0,0.0,0.0,0.0,0.0
1,49900,2,0.0,0.0,0.0,0.0,0.0,0.0
2,49900,3,0.0,0.0,0.0,0.0,0.0,0.0
3,49900,4,0.0,0.0,0.0,0.0,0.0,0.0
4,49900,5,0.0,0.0,0.0,0.0,0.0,0.0
5,49900,6,0.0,0.0,0.0,0.0,0.0,0.0
6,49900,7,6.640000000000214,0.0,0.0,6.640000000000214,6.640000000000214,0.0
7,49900,8,0.0,0.0,0.0,0.0,0.0,0.0
8,49900,9,0.0,0.0,0.0,0.0,0.0,0.0
9,49900,10,0.0,82.78,0.0,82.78,82.78,0.0
10,49900,11,89.410176254414,0.0,0.0,89.410176254414,89.410176254414,0.0
11,49900,12,0.0,0.0,82.78,82.78,82.78,0.0
12,49900,13,0.0,0.0,82.78,82.78,82.78,0.0
13,49900,14,0.0,83.27066334072428,0.0,83.27066334072428,83.27066334072428,0.0
14,49900,15,161.62110669705186,0.0,0.0,161.62110669705186,161.62110669705186,0.0
15,49900,16,143.230976602064,0.0,0.0,143.230976602064,143.230976602064,0.0
16,49900,17,0.0,0.0,187.77661246612467,187.77661246612467,187.77661246612467,0.0
17,49900,18,82.78,0.0,0.0,82.78,82.78,0.0
18,49900,19,0.0,0.0,0.0,0.0,0.0,0.0
19,49900,20,0.0,0.0,82.78,82.78,82.78,0.0
20,49900,21,82.78,0.0,0.0,82.78,82.78,0.0
21,49900,22,0.0,0.0,0.0,0.0,0.0,0.0
22,49900,23,0.0,82.78,0.0,82.78,82.78,0.0
23,49900,24,0.0,0.0,0.0,0.0,0.0,0.0
24,49901,1,0.0,0.0,0.0,0.0,0.0,0.0
25,49901,2,0.0,0.0,0.0,0.0,0.0,0.0
26,49901,3,0.0,0.0,0.0,0.0,0.0,0.0
27,49901,4,0.0,0.0,0.0,0.0,0.0,0.0
28,49901,5,0.0,0.0,0.0,0.0,0.0,0.0
29,49901,6,0.0,0.0,0.0,0.0,0.0,0.0
30,49901,7,0.0,0.0,0.0,0.0,0.0,0.0
31,49901,8,0.0,0.0,0.0,0.0,0.0,0.0
32,49901,9,0.0,0.0,0.0,0.0,0.0,0.0
33,49901,10,0.0,0.0,0.0,0.0,0.0,0.0
34,49901,11,0.0,0.0,0.0,0.0,0.0,0.0
35,49901,12,0.0,0.0,0.0,0.0,0.0,0.0
36,49901,13,0.0,0.0,0.0,0.0,0.0,0.0
37,49901,14,0.0,0.0,0.0,0.0,0.0,0.0
38,49901,15,0.0,0.0,0.0,0.0,0.0,0.0
39,49901,16,0.0,0.0,0.0,0.0,0.0,0.0
40,49901,17,0.0,0.0,0.0,0.0,0.0,0.0
41,49901,18,0.0,0.0,0.0,0.0,0.0,0.0
42,49901,19,0.0,0.0,0.0,0.0,0.0,0.0
43,49901,20,0.0,0.0,0.0,0.0,0.0,0.0
44,49901,21,0.0,0.0,0.0,0.0,0.0,0.0
45,49901,22,0.0,0.0,0.0,0.0,0.0,0.0
46,49901,23,0.0,0.0,0.0,0.0,0.0,0.0
47,49901,24,0.0,0.0,0.0,0.0,0.0,0.0
48,49902,1,0.0,0.0,0.0,0.0,0.0,500.0
49,49902,2,0.0,0.0,0.0,0.0,0.0,500.0
50,49902,3,0.0,0.0,0.0,0.0,0.0,500.0
51,49902,4,0.0,0.0,0.0,0.0,0.0,500.0
52,49902,5,0.0,0.0,0.0,0.0,0.0,500.0
53,49902,6,0.0,0.0,0.0,0.0,0.0,500.0
54,49902,7,0.0,6.640000000000214,0.0,0.0,6.640000000000214,493.3599999999998
55,49902,8,0.0,0.0,0.0,0.0,0.0,493.3599999999998
56,49902,9,0.0,0.0,0.0,0.0,0.0,493.3599999999998
57,49902,10,0.0,82.78,0.0,0.0,82.78,410.5799999999998
58,49902,11,0.0,82.78,0.0,75.0,82.78,402.79999999999984
59,49902,12,0.0,82.78,0.0,50.0,82.78,370.01999999999987
60,49902,13,0.0,82.78,0.0,75.0,82.78,362.2399999999999
61,49902,14,0.0,82.78,0.0,75.0,82.78,354.4599999999999
62,49902,15,0.0,82.78,0.0,75.0,82.78,346.67999999999995
63,49902,16,0.0,82.78,0.0,75.0,82.78,338.9
64,49902,17,0.0,82.78,0.0,75.0,82.78,331.12
65,49902,18,0.0,82.78,0.0,0.0,82.78,248.34
66,49902,19,0.0,0.0,0.0,0.0,0.0,248.34
67,49902,20,0.0,82.78,0.0,0.0,82.78,165.56
68,49902,21,0.0,82.78,0.0,0.0,82.78,82.78
69,49902,22,0.0,0.0,0.0,0.0,0.0,82.78
70,49902,23,0.0,82.78,0.0,0.0,82.78,0.0
71,49902,24,0.0,0.0,0.0,0.0,0.0,0.0
72,49903,1,0.0,0.0,0.0,0.0,0.0,0.0
73,49903,2,0.0,0.0,0.0,0.0,0.0,0.0
74,49903,3,0.0,0.0,0.0,0.0,0.0,0.0
75,49903,4,0.0,0.0,0.0,0.0,0.0,0.0
76,49903,5,0.0,0.0,0.0,0.0,0.0,0.0
77,49903,6,0.0,0.0,0.0,0.0,0.0,0.0
78,49903,7,0.0,0.0,0.0,0.0,0.0,0.0
79,49903,8,0.0,0.0,0.0,0.0,0.0,0.0
80,49903,9,0.0,0.0,0.0,0.0,0.0,0.0
81,49903,10,0.0,0.0,0.0,0.0,0.0,0.0
82,49903,11,75.0,0.0,0.0,75.0,75.0,0.0
83,49903,12,50.0,0.0,0.0,50.0,50.0,0.0
84,49903,13,75.0,0.0,0.0,75.0,75.0,0.0
85,49903,14,75.0,0.0,0.0,75.0,75.0,0.0
86,49903,15,75.0,0.0,0.0,75.0,75.0,0.0
87,49903,16,75.0,0.0,0.0,75.0,75.0,0.0
88,49903,17,75.0,0.0,0.0,75.0,75.0,0.0
89,49903,18,0.0,0.0,0.0,0.0,0.0,0.0
90,49903,19,0.0,0.0,0.0,0.0,0.0,0.0
91,49903,20,0.0,0.0,0.0,0.0,0.0,0.0
92,49903,21,0.0,0.0,0.0,0.0,0.0,0.0
93,49903,22,0.0,0.0,0.0,0.0,0.0,0.0
94,49903,23,0.0,0.0,0.0,0.0,0.0,0.0
95,49903,24,0.0,0.0,0.0,0.0,0.0,0.0
96,49904,1,0.0,0.0,0.0,0.0,0.0,0.0
97,49904,2,0.0,0.0,0.0,0.0,0.0,0.0
98,49904,3,0.0,0.0,0.0,0.0,0.0,0.0
99,49904,4,0.0,0.0,0.0,0.0,0.0,0.0
100,49904,5,0.0,0.0,0.0,0.0,0.0,0.0
101,49904,6,0.0,0.0,0.0,0.0,0.0,0.0
102,49904,7,0.0,0.0,0.0,0.0,0.0,0.0
103,49904,8,0.0,0.0,0.0,0.0,0.0,0.0
104,49904,9,0.0,0.0,0.0,0.0,0.0,0.0
105,49904,10,0.0,0.0,0.0,0.0,0.0,0.0
106,49904,11,0.0,0.0,0.0,0.0,0.0,0.0
107,49904,12,0.0,0.0,0.0,0.0,0.0,0.0
108,49904,13,0.0,0.0,0.0,0.0,0.0,0.0
109,49904,14,0.0,0.0,0.0,0.0,0.0,0.0
110,49904,15,0.0,0.0,0.0,0.0,0.0,0.0
111,49904,16,0.0,0.0,0.0,0.0,0.0,0.0
112,49904,17,0.0,0.0,0.0,0.0,0.0,0.0
113,49904,18,0.0,0.0,0.0,0.0,0.0,0.0
114,49904,19,0.0,0.0,0.0,0.0,0.0,0.0
115,49904,20,0.0,0.0,0.0,0.0,0.0,0.0
116,49904,21,0.0,0.0,0.0,0.0,0.0,0.0
117,49904,22,0.0,0.0,0.0,0.0,0.0,0.0
118,49904,23,0.0,0.0,0.0,0.0,0.0,0.0
119,49904,24,0.0,0.0,0.0,0.0,0.0,0.0
120,49905,1,0.0,0.0,0.0,0.0,0.0,500.0
121,49905,2,0.0,0.0,0.0,0.0,0.0,500.0
122,49905,3,0.0,0.0,0.0,0.0,0.0,500.0
123,49905,4,0.0,0.0,0.0,0.0,0.0,500.0
124,49905,5,0.0,0.0,0.0,0.0,0.0,500.0
125,49905,6,0.0,0.0,0.0,0.0,0.0,500.0
126,49905,7,0.0,0.0,0.0,0.0,0.0,500.0
127,49905,8,0.0,0.0,0.0,0.0,0.0,500.0
128,49905,9,0.0,0.0,0.0,0.0,0.0,500.0
129,49905,10,0.0,0.0,0.0,0.0,0.0,500.0
130,49905,11,75.0,0.0,0.0,0.0,75.0,425.0
131,49905,12,50.0,0.0,0.0,0.0,50.0,375.0
132,49905,13,75.0,0.0,0.0,0.0,75.0,300.0
133,49905,14,75.0,0.0,0.0,0.0,75.0,225.0
134,49905,15,75.0,0.0,0.0,0.0,75.0,150.0
135,49905,16,75.0,0.0,0.0,0.0,75.0,75.0
136,49905,17,75.0,0.0,0.0,0.0,75.0,0.0
137,49905,18,0.0,0.0,0.0,0.0,0.0,0.0
138,49905,19,0.0,0.0,0.0,0.0,0.0,0.0
139,49905,20,0.0,0.0,0.0,0.0,0.0,0.0
140,49905,21,0.0,0.0,0.0,0.0,0.0,0.0
141,49905,22,0.0,0.0,0.0,0.0,0.0,0.0
142,49905,23,0.0,0.0,0.0,0.0,0.0,0.0
143,49905,24,0.0,0.0,0.0,0.0,0.0,0.0
144,49906,1,0.0,0.0,0.0,0.0,0.0,174725.0
145,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0
146,49906,3,0.0,0.0,0.0,0.0,0.0,174725.0
147,49906,4,0.0,0.0,0.0,0.0,0.0,174725.0
148,49906,5,0.0,0.0,0.0,0.0,0.0,174725.0
149,49906,6,0.0,0.0,0.0,0.0,0.0,174725.0
150,49906,7,0.0,0.0,0.0,0.0,0.0,174725.0
151,49906,8,0.0,0.0,0.0,93.2468302068302,0.0,174818.24683020683
152,49906,9,0.0,0.0,0.0,0.0,0.0,174818.24683020683
153,49906,10,0.0,0.0,0.0,80.2068302068302,0.0,174898.45366041365
154,49906,11,6.630176254413993,0.0,0.0,93.2468302068302,6.630176254413993,174985.07031436608
155,49906,12,0.0,0.0,0.0,80.2068302068302,0.0,175065.2771445729
156,49906,13,0.0,0.0,0.0,93.2468302068302,0.0,175158.52397477973
157,49906,14,0.4906633407242831,0.0,0.0,0.0,0.4906633407242831,175158.033311439
158,49906,15,78.84110669705187,0.0,0.0,9443.246830206832,78.84110669705187,184522.4390349488
159,49906,16,60.45097660206399,0.0,0.0,93.2468302068302,60.45097660206399,184555.23488855356
160,49906,17,104.99661246612466,0.0,0.0,11.327193821364332,104.99661246612466,184461.5654699088
161,49906,18,0.0,0.0,0.0,93.2468302068302,0.0,184554.81230011562
162,49906,19,0.0,0.0,0.0,80.2068302068302,0.0,184635.01913032244
