component,values,area
Fuel,12777.52105232499,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,400.0,1
Fuel,0.0,2
Shedding,0.0,2
Dumping,6273.613152691352,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,15988.570037677324,3
Start,0.0,3
