id,area,timestep,load,load_shedding,power_dumping
1,1,1,154.52499999999998,0.0,0.0
2,1,2,176.175,0.0,0.0
3,1,3,197.825,0.0,0.0
4,1,4,219.47500000000002,0.0,0.0
5,1,5,268.50549450549454,0.0,0.0
6,1,6,292.61391941391946,0.0,0.0
7,1,7,285.6542124542125,0.0,0.0
8,1,8,247.62637362637363,0.0,0.0
9,1,9,147.90263837109262,0.0,0.0
10,1,10,121.06839690278173,0.0,0.0
11,1,11,123.58287926584455,0.0,0.0
12,1,12,155.446085460281,0.0,0.0
13,1,13,256.23064487156455,0.0,0.0
14,1,14,299.8180707742051,0.0,0.0
15,1,15,320.9937129513202,0.0,0.0
16,1,16,319.75757140291,0.0,0.0
17,1,17,300.1713917304221,0.0,0.0
18,1,18,299.0064643686066,0.0,0.0
19,1,19,294.01753631909236,0.0,0.0
20,1,20,285.2046075818792,0.0,0.0
21,1,21,267.773840778166,0.0,0.0
22,1,22,259.2356974218529,0.0,0.0
23,1,23,255.53092832184342,0.0,0.0
24,1,24,256.65953347813763,0.0,0.0
25,1,25,261.73457697380826,0.0,0.0
26,1,26,262.880459770115,0.0,0.0
27,1,27,264.9729413981534,0.0,0.0
28,1,28,268.01202185792357,0.0,0.0
29,1,29,264.0537462712756,0.0,0.0
30,1,30,267.0143709422706,0.0,0.0
31,1,31,278.08031233549747,0.0,0.0
32,1,32,297.2515704509563,0.0,0.0
33,1,33,348.33358876117495,0.0,0.0
34,1,34,369.43823905040944,0.0,0.0
35,1,35,366.15232514461724,0.0,0.0
36,1,36,338.47584704379835,0.0,0.0
37,1,37,268.42776048342796,0.0,0.0
38,1,38,244.52444607214795,0.0,0.0
39,1,39,240.04834279436002,0.0,0.0
40,1,40,254.9994506500641,0.0,0.0
41,1,41,309.70588235294116,0.0,0.0
42,1,42,326.8588235294118,0.0,0.0
43,1,43,325.3764705882353,0.0,0.0
44,1,44,305.25882352941176,0.0,0.0
45,1,45,259.59743795036024,0.0,0.0
46,1,46,241.28198558847072,0.0,0.0
47,1,47,231.6422738190552,0.0,0.0
48,1,48,230.67830264211366,0.0,0.0
49,1,49,234.07420927097377,0.0,0.0
50,1,50,233.09194234159492,0.0,0.0
51,1,51,236.30886653531056,0.0,0.0
52,1,52,243.7249818521207,0.0,0.0
53,1,53,252.4368124248867,0.0,0.0
54,1,54,259.891189793843,0.0,0.0
55,1,55,270.72718868447805,0.0,0.0
56,1,56,284.944809096792,0.0,0.0
57,1,57,321.26016658500737,0.0,0.0
58,1,58,336.5279764821166,0.0,0.0
59,1,59,332.23390494855465,0.0,0.0
60,1,60,308.37795198432144,0.0,0.0
61,1,61,259.127022020992,0.0,0.0
62,1,62,237.40032928586132,0.0,0.0
63,1,63,223.73665363243472,0.0,0.0
64,1,64,218.13599506071208,0.0,0.0
65,1,65,215.68728705527874,0.0,0.0
66,1,66,210.00356935913774,0.0,0.0
67,1,67,208.5581411519295,0.0,0.0
68,1,68,211.35100243365397,0.0,0.0
69,1,69,204.0971284845944,0.0,0.0
70,1,70,206.75896038566339,0.0,0.0
71,1,71,224.1309159505345,0.0,0.0
72,1,72,256.2129951792077,0.0,0.0
73,1,73,331.9938339802926,0.0,0.0
74,1,74,368.93880262765003,0.0,0.0
75,1,75,378.67248432367865,0.0,0.0
76,1,76,361.19487906837855,0.0,0.0
77,1,77,307.8431718061674,0.0,0.0
78,1,78,292.1897209985316,0.0,0.0
79,1,79,287.3732745961821,0.0,0.0
80,1,80,293.3938325991189,0.0,0.0
81,1,81,324.8242983028721,0.0,0.0
82,1,82,331.3557930809399,0.0,0.0
83,1,83,323.465747389034,0.0,0.0
84,1,84,301.1541612271541,0.0,0.0
85,1,85,219.3261333800105,0.0,0.0
86,1,86,201.7767547698232,0.0,0.0
87,1,87,226.02531069490638,0.0,0.0
88,1,88,292.07180115525995,0.0,0.0
89,1,89,504.9699088304247,0.0,0.0
90,1,90,598.0997238864289,0.0,0.0
91,1,91,602.7649075280023,0.0,0.0
92,1,92,518.9654597551446,0.0,0.0
93,1,93,375.45000000000005,0.0,0.0
94,1,94,303.15,0.0,0.0
95,1,95,230.85,0.0,0.0
96,1,96,158.54999999999998,0.0,0.0
97,2,1,112.39999999999999,0.0,206.12150000000008
98,2,2,129.2,0.0,147.90050000000002
99,2,3,146.0,0.0,89.67950000000005
100,2,4,162.8,0.0,31.458500000000058
101,2,5,176.6458398367151,0.0,2.3862196098383492
102,2,6,193.16950414215395,0.0,0.0
103,2,7,213.06183215271946,0.0,0.0
104,2,8,236.3228238684116,0.0,0.0
105,2,9,280.88205811783536,0.0,0.0
106,2,10,306.051559584111,0.0,5.948082605469644
107,2,11,311.9847507331379,0.0,0.0
108,2,12,298.6816315649161,0.0,0.0
109,2,13,267.05245083358295,0.0,0.0
110,2,14,254.60361385644407,0.0,0.0
111,2,15,243.17558151143058,0.0,0.0
112,2,16,232.7683537985425,0.0,0.0
113,2,17,210.0221567739012,0.0,0.0
114,2,18,200.19243316719528,0.0,0.0
115,2,19,202.68513819664705,0.0,0.0
116,2,20,217.50027186225645,0.0,0.0
117,2,21,256.5013816925734,0.0,0.0
118,2,22,272.8588946459413,0.0,0.0
119,2,23,278.77875647668395,0.0,0.0
120,2,24,274.26096718480136,0.0,0.0
121,2,25,245.29045132413276,0.0,0.0
122,2,26,241.18220813129426,0.0,0.0
123,2,27,251.14587840358067,0.0,0.0
124,2,28,275.1814621409921,0.0,0.0
125,2,29,342.591760584831,0.0,0.0
126,2,30,370.1115595491928,0.0,0.0
127,2,31,368.7598994821809,0.0,0.0
128,2,32,338.5367803837953,0.0,0.0
129,2,33,257.7305333581118,0.0,0.0
130,2,34,232.465935699684,0.0,0.0
131,2,35,230.56770117078605,0.0,0.0
132,2,36,252.0358297714179,0.0,0.0
133,2,37,321.8710859479437,0.0,0.0
134,2,38,347.1356923802784,0.0,0.0
135,2,39,350.83230321616736,0.0,0.0
136,2,40,332.9609184556106,0.0,0.0
137,2,41,296.1453606345693,0.0,0.0
138,2,42,279.34845969378347,0.0,0.0
139,2,43,262.6015495296071,0.0,0.0
140,2,44,245.90463014204025,0.0,0.0
141,2,45,212.3031746031746,0.0,0.0
142,2,46,196.83768707482992,0.0,0.0
143,2,47,196.46725623582765,0.0,0.0
144,2,48,211.1918820861678,0.0,0.0
145,2,49,257.6096608832807,0.0,0.0
146,2,50,274.3999605678233,0.0,0.0
147,2,51,276.1951498422713,0.0,0.0
148,2,52,262.9952287066246,0.0,0.0
149,2,53,216.01924528301885,0.0,0.0
150,2,54,204.60415094339618,0.0,0.0
151,2,55,212.09245283018865,0.0,0.0
152,2,56,238.48415094339617,0.0,0.0
153,2,57,298.3039099251948,0.0,0.0
154,2,58,328.02631294825335,0.0,0.0
155,2,59,348.2612015115293,0.0,0.0
156,2,60,359.00857561502283,0.0,0.0
157,2,61,381.78385339276866,0.0,0.0
158,2,62,392.8808320950966,0.0,0.0
159,2,63,380.748489351164,0.0,0.0
160,2,64,345.3868251609708,0.0,0.0
161,2,65,274.77647058823527,0.0,0.0
162,2,66,243.43529411764703,0.0,0.0
163,2,67,226.32941176470587,0.0,0.0
164,2,68,223.45882352941177,0.0,0.0
165,2,69,236.7184924733546,0.0,0.0
166,2,70,233.6379958246347,0.0,0.0
167,2,71,228.25975167564008,0.0,0.0
168,2,72,220.58376002637073,0.0,0.0
169,2,73,194.6221553420535,0.0,0.0
170,2,74,187.60541729366824,0.0,0.0
171,2,75,195.8916309758074,0.0,0.0
172,2,76,219.4807963884709,0.0,0.0
173,2,77,281.249411139644,0.0,0.0
174,2,78,308.54377047728684,0.0,0.0
175,2,79,315.2471796688214,0.0,0.0
176,2,80,301.35963871424775,0.0,0.0
177,2,81,247.14326188943065,0.0,0.0
178,2,82,235.2039738754485,0.0,0.0
179,2,83,243.63035599300892,0.0,0.0
180,2,84,272.42240824211206,0.0,0.0
181,2,85,346.745489145757,0.0,0.0
182,2,86,379.88969551733857,0.0,0.0
183,2,87,391.5721031857908,0.0,0.0
184,2,88,381.7927121511136,0.0,0.0
185,2,89,372.24960876369323,0.0,0.0
186,2,90,362.4640062597809,0.0,0.0
187,2,91,333.1071987480438,0.0,0.0
188,2,92,284.17918622848197,0.0,0.0
189,2,93,222.375,0.0,0.0
190,2,94,176.125,0.0,0.0
191,2,95,129.875,0.0,0.0
192,2,96,83.625,0.0,18.394749999999974
193,3,1,137.75,0.0,0.0
194,3,2,169.25,0.0,0.0
195,3,3,200.75,0.0,0.0
196,3,4,232.25,0.0,0.0
197,3,5,291.0280290934894,0.0,0.0
198,3,6,325.78587901365967,0.0,0.0
199,3,7,328.3789249600851,0.0,0.0
200,3,8,298.8071669327656,0.0,0.0
201,3,9,215.362494586401,0.0,0.0
202,3,10,191.70792550887828,0.0,0.0
203,3,11,191.9727154612386,0.0,0.0
204,3,12,216.15686444348196,0.0,0.0
205,3,13,288.50175794455714,0.0,0.0
206,3,14,317.53204868154154,0.0,0.0
207,3,15,327.9151453684921,0.0,0.0
208,3,16,319.651048005409,0.0,0.0
209,3,17,283.7932591958939,0.0,0.0
210,3,18,276.261488451668,0.0,0.0
211,3,19,278.434114627887,0.0,0.0
212,3,20,290.31113772455086,0.0,0.0
213,3,21,310.83959238723213,0.0,0.0
214,3,22,323.05664618612315,0.0,0.0
215,3,23,337.5085268994455,0.0,0.0
216,3,24,354.1952345271992,0.0,0.0
217,3,25,397.0581299186341,0.0,0.0
218,3,26,414.92255568894234,0.0,0.0
219,3,27,407.53221288515414,0.0,0.0
220,3,28,374.8871015072696,0.0,0.0
221,3,29,325.8074142044412,0.0,0.0
222,3,30,294.7299320976326,0.0,0.0
223,3,31,260.2612589465958,0.0,0.0
224,3,32,222.4013947513305,0.0,0.0
225,3,33,135.0727139292529,0.0,0.0
226,3,34,107.36169088507266,0.0,0.0
227,3,35,112.34448847790988,0.0,0.0
228,3,36,150.02110670776457,0.0,0.0
229,3,37,274.52217655761956,0.0,0.0
230,3,38,329.62709189544626,0.0,0.0
231,3,39,357.15245766891337,0.0,0.0
232,3,40,357.0982738780207,0.0,0.0
233,3,41,336.055318160706,0.0,0.0
234,3,42,336.0043195541105,0.0,0.0
235,3,43,329.3745006967022,0.0,0.0
236,3,44,316.1658615884812,0.0,0.0
237,3,45,284.6927578765645,0.0,0.0
238,3,46,272.2804315925766,0.0,0.0
239,3,47,271.39383685800595,0.0,0.0
240,3,48,282.0329736728528,0.0,0.0
241,3,49,321.39478630383263,0.0,0.0
242,3,50,333.07804200375904,0.0,0.0
243,3,51,327.84162784996323,0.0,0.0
244,3,52,305.68554384244504,0.0,0.0
245,3,53,258.4521888238854,0.0,0.0
246,3,54,238.25573935848294,0.0,0.0
247,3,55,227.70177526729876,0.0,0.0
248,3,56,226.79029655033284,0.0,0.0
249,3,57,229.4676663542643,0.0,0.0
250,3,58,228.54170571696346,0.0,0.0
251,3,59,233.5370196813496,0.0,0.0
252,3,60,244.45360824742266,0.0,0.0
253,3,61,250.28473530923418,0.0,0.0
254,3,62,260.98393010107924,0.0,0.0
255,3,63,284.14959739592246,0.0,0.0
256,3,64,319.7817371937639,0.0,0.0
257,3,65,383.8895853423337,0.0,0.0
258,3,66,422.37656702025083,0.0,0.0
259,3,67,447.2434908389586,0.0,0.0
260,3,68,458.4903567984572,0.0,0.0
261,3,69,498.65497619324117,0.0,0.0
262,3,70,510.5942166995703,0.0,0.0
263,3,71,477.5696202531646,0.0,0.0
264,3,72,399.58118685402394,0.0,0.0
265,3,73,236.62810915758823,0.0,0.0
266,3,74,179.24418077877257,0.0,0.0
267,3,75,158.1080358105922,0.0,0.0
268,3,76,173.21967425304717,0.0,0.0
269,3,77,231.33339005483077,0.0,0.0
270,3,78,249.8955000945358,0.0,0.0
271,3,79,271.08105501985256,0.0,0.0
272,3,80,294.89005483078085,0.0,0.0
273,3,81,338.6443840446632,0.0,0.0
274,3,82,363.9434364210681,0.0,0.0
275,3,83,370.64952618820246,0.0,0.0
276,3,84,358.76265334606626,0.0,0.0
277,3,85,340.10650399802165,0.0,0.0
278,3,86,328.45160333031083,0.0,0.0
279,3,87,306.97254966614463,0.0,0.0
280,3,88,275.66934300552305,0.0,0.0
281,3,89,223.96565008025684,0.0,0.0
282,3,90,195.27573774540068,0.0,0.0
283,3,91,177.05504383257193,0.0,0.0
284,3,92,169.30356834177059,0.0,0.0
285,3,93,170.9,0.0,0.0
286,3,94,162.70000000000002,0.0,0.0
287,3,95,154.5,0.0,0.0
288,3,96,146.29999999999998,0.0,0.0
