timestep,plant_id,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume_res
34,49911,3.259348032599977,0.0,0.0,0.0,3.259348032599977,18463.63233800431
34,49912,0.0,0.0,0.0,0.0,0.0,32500.0
34,49913,0.0,0.0,0.0,0.0,0.0,0.0
34,49914,0.0,0.0,0.0,0.0,0.0,0.0
34,49915,0.0,0.0,0.0,0.0,0.0,3000.0
34,49920,45.6400303588264,0.0,0.0,0.0,45.6400303588264,1896.268994614802
34,49921,0.0,0.0,0.0,0.0,0.0,0.0
34,49922,0.0,0.0,0.0,0.0,0.0,350.81054293171593
34,49923,0.0,0.0,0.0,2.9100920073668607e-15,0.0,0.0
34,49924,0.0,0.0,0.0,0.0,0.0,18674.431310996228
34,49925,0.0,0.0,0.0,0.0,0.0,290961.3569771242
34,49927,0.0,0.0,0.0,0.0,0.0,93500.0
34,49928,2.9100920073668607e-15,0.0,0.0,0.0,2.9100920073668607e-15,0.0
34,49929,0.0,0.0,0.0,0.0,0.0,26000.000000000022
34,49930,0.0,0.0,0.0,0.0,0.0,24999.999999999993
34,49931,0.0,0.0,0.0,0.0,0.0,0.0
35,49900,0.0,0.0,-1.4549004990840303e-11,-1.4549004990840303e-11,-1.4549004990840303e-11,0.0
35,49901,0.0,0.0,0.0,0.0,0.0,0.0
35,49902,0.0,0.0,-1.4551915082847809e-11,0.0,-1.4551915082847809e-11,309.08821341505404
35,49903,0.0,0.0,0.0,0.0,0.0,0.0
35,49904,0.0,0.0,0.0,0.0,0.0,0.0
35,49905,0.0,0.0,0.0,0.0,0.0,495.3125
35,49906,0.0,0.0,0.0,63.99463182193423,0.0,184394.49808127826
35,49907,-1.4549004990840303e-11,0.0,0.0,-1.4551915082847809e-11,-1.4549004990840303e-11,0.0
35,49908,0.0,0.0,0.0,0.0,0.0,0.0
35,49911,9.780000032600025,0.0,0.0,0.0,9.780000032600025,18461.18733800431
35,49912,0.0,0.0,0.0,0.0,0.0,32500.0
35,49913,0.0,0.0,0.0,0.0,0.0,0.0
35,49914,0.0,0.0,0.0,0.0,0.0,0.0
35,49915,0.0,0.0,0.0,0.0,0.0,3000.0
35,49920,54.2146317893317,0.0,0.0,19.78635243653911,54.2146317893317,1887.6616013809778
