timestep,area,load,load_shedding,power_dumping
73,3,240.6047897636495,0.0,0.0
74,1,368.2061534040999,0.0,0.0
74,2,188.0000470549989,0.0,0.0
74,3,180.05046464462475,0.0,0.0
75,1,377.93732290442574,0.0,0.0
75,2,196.25831505862467,0.0,0.0
75,3,159.02230513187502,0.0,0.0
76,1,359.8983849056007,0.0,0.0
76,2,220.93450959432488,0.0,0.0
76,3,174.67915062087542,0.0,0.0
77,1,309.3183960895001,0.0,0.0
77,2,279.96208291330106,0.0,0.0
77,3,229.65681191735015,0.0,0.0
78,1,292.41696554467467,0.0,0.0
78,2,308.01084292540014,0.0,0.0
78,3,250.0435560002754,0.0,0.0
79,1,287.6200315423513,0.0,0.0
79,2,314.72481692424975,0.0,0.0
79,3,271.15115851064957,0.0,0.0
80,1,294.3633445625249,0.0,0.0
80,2,299.83095190007515,0.0,0.0
80,3,295.70663654460105,0.0,0.0
81,1,323.90584793635014,0.0,0.0
81,2,248.7259981061249,0.0,0.0
81,3,338.01163744895115,0.0,0.0
82,1,331.0099539455004,0.0,0.0
82,2,235.6949080770501,0.0,0.0
82,3,363.4157864373011,0.0,0.0
83,1,323.1642034397005,0.0,0.0
83,2,244.1159425779005,0.0,0.0
83,3,370.10490243929934,0.0,0.0
84,1,298.76759586360015,0.0,0.0
84,2,274.132425114499,0.0,0.0
84,3,358.6192919735981,0.0,0.0
85,1,221.61276617135056,0.0,0.0
85,2,345.1725258992016,0.0,0.0
85,3,340.47674200842545,0.0,0.0
86,1,202.77770765707461,0.0,0.0
86,2,379.31363242362664,0.0,0.0
86,3,328.1491384697492,0.0,0.0
87,1,226.89236917360014,0.0,0.0
87,2,390.94010043064964,0.0,0.0
87,3,306.706170965124,0.0,0.0
88,1,297.714061358425,0.0,0.0
88,2,381.96456148660087,0.0,0.0
88,3,274.8780024507504,0.0,0.0
89,1,500.529596196027,0.0,0.0
89,2,372.3894804865496,0.0,0.0
89,3,224.82306505804922,0.0,0.0
90,1,595.634905695175,0.0,0.0
90,2,361.86898243804865,0.0,0.0
90,3,195.53381753919984,0.0,0.0
91,1,600.2231527051503,0.0,0.0
91,2,332.523065936351,0.0,0.0
91,3,177.33683503642524,0.0,0.0
92,1,517.0496958217503,0.0,0.0
92,2,283.75981346192594,0.0,0.0
92,3,169.61229802697497,0.0,0.0
93,1,378.3772906571261,0.0,0.0
93,2,223.004841034925,0.0,0.0
93,3,170.4873089789243,0.0,0.0
94,1,302.9338070213254,0.0,0.0
94,2,176.0551780063247,0.0,0.0
94,3,162.7146054980999,0.0,0.0
95,1,230.6489395188256,0.0,0.0
95,2,129.7702320101756,0.0,0.0
95,3,154.49210200107524,0.0,0.0
96,1,160.5675531188994,0.0,0.0
96,2,84.92594157597514,0.0,7.5534115989061785
96,3,146.53472601344984,0.0,0.0
