id,area,timestep,timestep_fractional,load,load_shedding,power_dumping
114,1,12,11.3,157.19527999999997,0.0,0.0
115,1,12,11.4,153.29296000000002,0.0,0.0
116,1,12,11.5,149.19,0.0,0.0
117,1,12,11.6,147.20024000000004,0.0,0.0
118,1,12,11.7,149.63752,0.0,0.0
119,1,12,11.8,158.81568000000001,0.0,0.0
120,1,12,11.9,177.04856000000004,0.0,0.0
121,1,12,12.0,206.65,0.0,0.0
122,1,13,12.1,235.95773000000008,0.0,0.0
123,1,13,12.2,253.47024000000008,0.0,0.0
124,1,13,12.3,261.73350999999997,0.0,0.0
125,1,13,12.4,263.29352000000006,0.0,0.0
126,1,13,12.5,260.69625,0.0,0.0
127,1,13,12.6,256.48768,0.0,0.0
128,1,13,12.7,253.21379,0.0,0.0
129,1,13,12.8,253.42056000000002,0.0,0.0
130,1,13,12.9,259.65397,0.0,0.0
131,1,13,13.0,274.46,0.0,0.0
132,1,14,13.1,290.64180000000005,0.0,0.0
133,1,14,13.2,300.23560000000003,0.0,0.0
134,1,14,13.3,304.63699999999994,0.0,0.0
135,1,14,13.4,305.2416,0.0,0.0
136,1,14,13.5,303.445,0.0,0.0
137,1,14,13.6,300.6428,0.0,0.0
138,1,14,13.7,298.2306,0.0,0.0
139,1,14,13.8,297.60400000000004,0.0,0.0
140,1,14,13.9,300.15860000000004,0.0,0.0
141,1,14,14.0,307.29,0.0,0.0
142,1,15,14.1,315.5445600000001,0.0,0.0
143,1,15,14.2,320.8708800000001,0.0,0.0
144,1,15,14.3,323.76791999999995,0.0,0.0
145,1,15,14.4,324.73464,0.0,0.0
146,1,15,14.5,324.27000000000004,0.0,0.0
147,1,15,14.6,322.87296000000003,0.0,0.0
148,1,15,14.7,321.04247999999995,0.0,0.0
149,1,15,14.8,319.27752,0.0,0.0
150,1,15,14.9,318.07704,0.0,0.0
151,1,15,15.0,317.94,0.0,0.0
152,1,16,15.1,318.69777000000005,0.0,0.0
153,1,16,15.2,319.69896000000006,0.0,0.0
154,1,16,15.3,320.71838999999994,0.0,0.0
155,1,16,15.4,321.53088,0.0,0.0
156,1,16,15.5,321.91125,0.0,0.0
157,1,16,15.6,321.63432000000006,0.0,0.0
158,1,16,15.7,320.47491,0.0,0.0
159,1,16,15.8,318.20784000000003,0.0,0.0
160,1,16,15.9,314.60793,0.0,0.0
161,1,16,16.0,309.45,0.0,0.0
162,1,17,16.1,304.45330000000007,0.0,0.0
163,1,17,16.2,301.2608000000001,0.0,0.0
164,1,17,16.3,299.5329,0.0,0.0
165,1,17,16.4,298.93000000000006,0.0,0.0
166,1,17,16.5,299.1125,0.0,0.0
167,1,17,16.6,299.74080000000004,0.0,0.0
168,1,17,16.7,300.4753,0.0,0.0
