timestep,plant_id,production,area,fuel_type,status,startup
5,2,0.0,1,Thermal,0,0
5,3,0.0,1,Thermal,0,0
5,4,0.0,1,Thermal,0,0
5,5,0.0,1,Thermal,0,0
5,6,0.0,1,Thermal,0,0
5,7,0.0,1,Thermal,0,0
5,8,0.0,1,Thermal,0,0
5,9,0.0,1,Thermal,0,0
5,10,0.0,1,Thermal,0,0
5,154,41.787478501074915,2,Wind,0,0
5,155,239.1275124978756,2,Wind,0,0
5,156,183.73081547065036,2,Wind,0,0
5,157,214.03000149955008,2,Wind,0,0
5,49900,0.0,3,Hydro,0,0
5,49901,0.0,3,Hydro,0,0
5,49902,0.0,3,Hydro,0,0
5,49903,0.0,3,Hydro,0,0
5,49904,0.0,3,Hydro,0,0
5,49905,0.0,3,Hydro,0,0
5,49906,0.0,3,Hydro,0,0
5,49907,12.143308599724854,3,Hydro,0,0
5,49908,0.0,3,Hydro,0,0
5,49911,9.446586842950964,3,Hydro,0,0
5,49912,0.0,3,Hydro,0,0
5,49913,0.0,3,Hydro,0,0
5,49914,0.0,3,Hydro,0,0
5,49915,0.0,3,Hydro,0,0
5,49920,39.9359611967998,3,Hydro,0,0
5,49921,0.0,3,Hydro,0,0
5,49922,6.249743937502561,3,Hydro,0,0
5,49923,0.0,3,Hydro,0,0
5,49924,0.0,3,Hydro,0,0
5,49925,0.0,3,Hydro,0,0
5,49927,0.0,3,Hydro,0,0
5,49928,0.0,3,Hydro,0,0
5,49929,0.0,3,Hydro,0,0
5,49930,0.0,3,Hydro,0,0
5,49931,0.0,3,Hydro,0,0
6,1,0.0,1,Thermal,0,0
6,2,0.0,1,Thermal,0,0
6,3,0.0,1,Thermal,0,0
6,4,0.0,1,Thermal,0,0
6,5,0.0,1,Thermal,0,0
6,6,0.0,1,Thermal,0,0
6,7,0.0,1,Thermal,0,0
6,8,0.0,1,Thermal,0,0
6,9,0.0,1,Thermal,0,0
6,10,0.0,1,Thermal,0,0
6,154,41.51249600127504,2,Wind,0,0
6,155,239.08247799737435,2,Wind,0,0
6,156,196.01529945930127,2,Wind,0,0
6,157,213.99999449945017,2,Wind,0,0
6,49900,0.0,3,Hydro,0,0
