component,values,area
Fuel,12518.529999999999,1
Shedding,0.0,1
Dumping,0.0,1
Water,0.0,1
Start,400.0,1
Fuel,0.0,2
Shedding,0.0,2
Dumping,3927.5,2
Water,0.0,2
Start,0.0,2
Fuel,0.0,3
Shedding,0.0,3
Dumping,0.0,3
Water,16359.2,3
Start,0.0,3
